

*******************************************************************************
Ephemeris / WWW_USER Sun Nov 19 19:43:56 2023 Pasadena, USA      / Horizons
*******************************************************************************
Target body name: THEMIS-C (spacecraft) (-193)    {source: THEMIS-C_merged}
Center body name: Moon (301)                      {source: DE441}
Center-site name: BODY CENTER
*******************************************************************************
Start time      : A.D. 2023-Oct-26 00:00:00.0000 TDB
Stop  time      : A.D. 2023-Oct-27 00:00:00.0000 TDB
Step-size       : 1 minutes
*******************************************************************************
Center geodetic : 0.0, 0.0, 0.0                   {E-lon(deg),Lat(deg),Alt(km)}
Center cylindric: 0.0, 0.0, 0.0                   {E-lon(deg),Dxy(km),Dz(km)}
Center radii    : 1737.4, 1737.4, 1737.4 km       {Equator_a, b, pole_c}
Output units    : KM-S
Calendar mode   : Mixed Julian/Gregorian
Output type     : GEOMETRIC cartesian states
Output format   : 1 (position only)
Reference frame : Ecliptic of J2000.0
*******************************************************************************
            JDTDB,            Calendar Date (TDB),                      X,                      Y,                      Z,
**************************************************************************************************************************
$$SOE
2460243.527083333, A.D. 2023-Oct-26 00:39:00.0000, -9.238487257033703E+02,  6.107912673541937E+03, -1.163912866960155E+03,
2460243.527777778, A.D. 2023-Oct-26 00:40:00.0000, -9.709565134524601E+02,  6.148107565977670E+03, -1.172181207410415E+03,
2460243.528472222, A.D. 2023-Oct-26 00:41:00.0000, -1.017996966514038E+03,  6.187875188236712E+03, -1.180368076169307E+03,
2460243.529166667, A.D. 2023-Oct-26 00:42:00.0000, -1.064968384897744E+03,  6.227222297726804E+03, -1.188474718282117E+03,
2460243.529861111, A.D. 2023-Oct-26 00:43:00.0000, -1.111869165214011E+03,  6.266155483311954E+03, -1.196502351266491E+03,
2460243.530555556, A.D. 2023-Oct-26 00:44:00.0000, -1.158697792933148E+03,  6.304681176192328E+03, -1.204452163896550E+03,
2460243.531250000, A.D. 2023-Oct-26 00:45:00.0000, -1.205452841030899E+03,  6.342805648327667E+03, -1.212325314331370E+03,
2460243.531944444, A.D. 2023-Oct-26 00:46:00.0000, -1.252132961331168E+03,  6.380535024409414E+03, -1.220122937258084E+03,
2460243.532638889, A.D. 2023-Oct-26 00:47:00.0000, -1.298736885206774E+03,  6.417875279986243E+03, -1.227846137729592E+03,
2460243.533333333, A.D. 2023-Oct-26 00:48:00.0000, -1.345263416519272E+03,  6.454832251992301E+03, -1.235495997012707E+03,
2460243.534027778, A.D. 2023-Oct-26 00:49:00.0000, -1.391711425958842E+03,  6.491411637473752E+03, -1.243073571668878E+03,
2460243.534722222, A.D. 2023-Oct-26 00:50:00.0000, -1.438079854281270E+03,  6.527619001837819E+03, -1.250579893151315E+03,
2460243.535416667, A.D. 2023-Oct-26 00:51:00.0000, -1.484367702126328E+03,  6.563459780636904E+03, -1.258015969398251E+03,
2460243.536111111, A.D. 2023-Oct-26 00:52:00.0000, -1.530574029488256E+03,  6.598939285756410E+03, -1.265382787453083E+03,
2460243.536805556, A.D. 2023-Oct-26 00:53:00.0000, -1.576697953736177E+03,  6.634062706372142E+03, -1.272681309882840E+03,
2460243.537500000, A.D. 2023-Oct-26 00:54:00.0000, -1.622738645691017E+03,  6.668835112842447E+03, -1.279912480254980E+03,
2460243.538194444, A.D. 2023-Oct-26 00:55:00.0000, -1.668695327547030E+03,  6.703261465411726E+03, -1.287077219981738E+03,
2460243.538888889, A.D. 2023-Oct-26 00:56:00.0000, -1.714567268976767E+03,  6.737346608685189E+03, -1.294176430639313E+03,
2460243.539583333, A.D. 2023-Oct-26 00:57:00.0000, -1.760353786862397E+03,  6.771095282688714E+03, -1.301210993918235E+03,
2460243.540277778, A.D. 2023-Oct-26 00:58:00.0000, -1.806054241506557E+03,  6.804512122650546E+03, -1.308181773267665E+03,
2460243.540972222, A.D. 2023-Oct-26 00:59:00.0000, -1.851668035453185E+03,  6.837601659896151E+03, -1.315089612388681E+03,
2460243.541666667, A.D. 2023-Oct-26 01:00:00.0000, -1.897194608770835E+03,  6.870368330117699E+03, -1.321935339583987E+03,
2460243.542361111, A.D. 2023-Oct-26 01:01:00.0000, -1.942633442452468E+03,  6.902816471724035E+03, -1.328719761163330E+03,
2460243.543055556, A.D. 2023-Oct-26 01:02:00.0000, -1.987984051085077E+03,  6.934950330666689E+03, -1.335443671207948E+03,
2460243.543750000, A.D. 2023-Oct-26 01:03:00.0000, -2.033245985208720E+03,  6.966774063380209E+03, -1.342107845203311E+03,
2460243.544444445, A.D. 2023-Oct-26 01:04:00.0000, -2.078418826032197E+03,  6.998291735877234E+03, -1.348713042020809E+03,
2460243.545138889, A.D. 2023-Oct-26 01:05:00.0000, -2.123502186652331E+03,  7.029507331860702E+03, -1.355260005922234E+03,
2460243.545833333, A.D. 2023-Oct-26 01:06:00.0000, -2.168495710428630E+03,  7.060424749686554E+03, -1.361749464913240E+03,
2460243.546527778, A.D. 2023-Oct-26 01:07:00.0000, -2.213399068032566E+03,  7.091047809733533E+03, -1.368182133917914E+03,
2460243.547222222, A.D. 2023-Oct-26 01:08:00.0000, -2.258211958181520E+03,  7.121380250076237E+03, -1.374558711895915E+03,
2460243.547916667, A.D. 2023-Oct-26 01:09:00.0000, -2.302934102083265E+03,  7.151425735282049E+03, -1.380879884603364E+03,
2460243.548611111, A.D. 2023-Oct-26 01:10:00.0000, -2.347565247814870E+03,  7.181187855088984E+03, -1.387146323922547E+03,
2460243.549305555, A.D. 2023-Oct-26 01:11:00.0000, -2.392105167617206E+03,  7.210670126543438E+03, -1.393358687791534E+03,
2460243.550000000, A.D. 2023-Oct-26 01:12:00.0000, -2.436553651314520E+03,  7.239875996778257E+03, -1.399517623347569E+03,
2460243.550694444, A.D. 2023-Oct-26 01:13:00.0000, -2.480910515281372E+03,  7.268808843379336E+03, -1.405623762102325E+03,
2460243.551388889, A.D. 2023-Oct-26 01:14:00.0000, -2.525175592492800E+03,  7.297471979755473E+03, -1.411677726110644E+03,
2460243.552083333, A.D. 2023-Oct-26 01:15:00.0000, -2.569348734954663E+03,  7.325868651944623E+03, -1.417680124659923E+03,
2460243.552777778, A.D. 2023-Oct-26 01:16:00.0000, -2.613429814659292E+03,  7.354002044305669E+03, -1.423631554671964E+03,
2460243.553472222, A.D. 2023-Oct-26 01:17:00.0000, -2.657418718965724E+03,  7.381875277471934E+03, -1.429532601727943E+03,
2460243.554166667, A.D. 2023-Oct-26 01:18:00.0000, -2.701315354064922E+03,  7.409491414595824E+03, -1.435383841769646E+03,
2460243.554861111, A.D. 2023-Oct-26 01:19:00.0000, -2.745119639566285E+03,  7.436853460181375E+03, -1.441185837616449E+03,
2460243.555555556, A.D. 2023-Oct-26 01:20:00.0000, -2.788831511013675E+03,  7.463964360023980E+03, -1.446939143761689E+03,
2460243.556250000, A.D. 2023-Oct-26 01:21:00.0000, -2.832450918968127E+03,  7.490827006273927E+03, -1.452644303811366E+03,
